category,sample_id,group,paired_patient_id,cell_line,replicate,pathway_score,available_gene_count,requested_gene_count,available_genes
respiratory chain complex I,GSM9181267,disease,3,FA3,2,0.5194499662452441,2,2,NDUFA1;NDUFB8
respiratory chain complex I,GSM9181268,disease,3,FA3,3,0.44090194079142386,2,2,NDUFA1;NDUFB8
respiratory chain complex II,GSM9181257,control,1,FA1ic,1,0.009548890677201305,1,1,SDHA
respiratory chain complex II,GSM9181258,control,1,FA1ic,2,1.0743594894582453,1,1,SDHA
respiratory chain complex II,GSM9181259,control,1,FA1ic,3,1.6128783736405068,1,1,SDHA
respiratory chain complex II,GSM9181254,disease,1,FA1,1,-0.06577116348763867,1,1,SDHA
respiratory chain complex II,GSM9181255,disease,1,FA1,2,0.35028290596472866,1,1,SDHA
respiratory chain complex II,GSM9181256,disease,1,FA1,3,-0.37217207747653464,1,1,SDHA
respiratory chain complex II,GSM9181263,control,2,FA2ic,1,-0.28233349459013707,1,1,SDHA
respiratory chain complex II,GSM9181264,control,2,FA2ic,2,-0.2741325849349924,1,1,SDHA
respiratory chain complex II,GSM9181265,control,2,FA2ic,3,-0.2198131294135525,1,1,SDHA
respiratory chain complex II,GSM9181260,disease,2,FA2,1,-0.9140887319420797,1,1,SDHA
respiratory chain complex II,GSM9181261,disease,2,FA2,2,-2.4963725781538852,1,1,SDHA
respiratory chain complex II,GSM9181262,disease,2,FA2,3,-0.09601407936543653,1,1,SDHA
respiratory chain complex II,GSM9181269,control,3,FA3ic,1,0.9496364919973657,1,1,SDHA
respiratory chain complex II,GSM9181270,control,3,FA3ic,2,-0.4847165614957206,1,1,SDHA
respiratory chain complex II,GSM9181271,control,3,FA3ic,3,1.2810029679422161,1,1,SDHA
respiratory chain complex II,GSM9181266,disease,3,FA3,1,-1.4053833902984483,1,1,SDHA
respiratory chain complex II,GSM9181267,disease,3,FA3,2,0.49695247334361925,1,1,SDHA
respiratory chain complex II,GSM9181268,disease,3,FA3,3,0.8361361981345389,1,1,SDHA
respiratory chain complex III,GSM9181257,control,1,FA1ic,1,0.18508167381984983,1,1,UQCRC2
respiratory chain complex III,GSM9181258,control,1,FA1ic,2,1.118278448644028,1,1,UQCRC2
respiratory chain complex III,GSM9181259,control,1,FA1ic,3,1.7154189087938685,1,1,UQCRC2
respiratory chain complex III,GSM9181254,disease,1,FA1,1,0.017130892897914293,1,1,UQCRC2
respiratory chain complex III,GSM9181255,disease,1,FA1,2,-0.02262934477145625,1,1,UQCRC2
respiratory chain complex III,GSM9181256,disease,1,FA1,3,-0.29077973746468666,1,1,UQCRC2
respiratory chain complex III,GSM9181263,control,2,FA2ic,1,-0.173137464943744,1,1,UQCRC2
respiratory chain complex III,GSM9181264,control,2,FA2ic,2,-0.23972589591249355,1,1,UQCRC2
respiratory chain complex III,GSM9181265,control,2,FA2ic,3,-0.1276400793252671,1,1,UQCRC2
respiratory chain complex III,GSM9181260,disease,2,FA2,1,-1.1644299024816314,1,1,UQCRC2
respiratory chain complex III,GSM9181261,disease,2,FA2,2,-2.4891835061482084,1,1,UQCRC2
respiratory chain complex III,GSM9181262,disease,2,FA2,3,-0.12167365829872763,1,1,UQCRC2
respiratory chain complex III,GSM9181269,control,3,FA3ic,1,0.7241543171849896,1,1,UQCRC2
respiratory chain complex III,GSM9181270,control,3,FA3ic,2,-0.5915177294450138,1,1,UQCRC2
