gene_id,gene_symbol,mean_log2_cpm_disease,mean_log2_cpm_control,mean_log2_cpm,log2_fold_change,p_value,n_pairs,method,comparison,padj,abs_log2_fold_change
ENSG00000170962,PDGFD,6.159661316552504,5.873611462422857,6.0166363894876795,0.28604985412964723,0.31820849076728724,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6840757702998345,0.28604985412964723
ENSG00000104626,ERI1,4.398964684114471,4.312308520316079,4.355636602215275,0.08665616379839225,0.3183987561059956,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.08665616379839225
ENSG00000094804,CDC6,4.352262867590276,4.717324070274803,4.5347934689325395,-0.3650612026845277,0.31857811871624275,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.3650612026845277
ENSG00000147526,TACC1,6.058629567927528,6.170104102099206,6.114366835013366,-0.11147453417167785,0.31860554981052003,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.11147453417167785
ENSG00000069956,MAPK6,6.840947061502834,6.734848202477525,6.787897631990179,0.10609885902530891,0.3186144742406249,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.10609885902530891
ENSG00000186310,NAP1L3,6.0400021346414325,5.721277127613959,5.880639631127695,0.3187250070274734,0.3186453851828916,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.3187250070274734
ENSG00000100890,KIAA0391,5.821759827504825,5.738044478240435,5.77990215287263,0.08371534926438962,0.3186765033271924,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.08371534926438962
ENSG00000006118,TMEM132A,7.138937544151735,6.885382708242496,7.012160126197116,0.253554835909239,0.318752411594775,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.253554835909239
ENSG00000143376,SNX27,6.212318061211569,6.196643396722318,6.204480728966943,0.015674664489250922,0.3187644258478715,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.015674664489250922
ENSG00000114739,ACVR2B,5.629377025244911,5.965277053461473,5.797327039353192,-0.33590002821656206,0.31878335023960014,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.33590002821656206
ENSG00000114745,GORASP1,5.944494253595839,5.809733251041664,5.877113752318753,0.13476100255417478,0.31881626453975465,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.13476100255417478
ENSG00000164953,TMEM67,4.451525057692422,4.749783030484909,4.600654044088665,-0.298257972792487,0.3189654242440825,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.298257972792487
ENSG00000107036,RIC1,5.847354168287396,5.542449029977107,5.694901599132251,0.3049051383102883,0.3189731448879524,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.3049051383102883
ENSG00000175344,CHRNA7,1.442035926852167,1.7660132480555095,1.6040245874538384,-0.32397732120334255,0.31910462267901696,3,paired_t_test_on_patient_mean_log2_cpm,FRDA_iPSC_cardiomyocytes_vs_isogenic_corrected_controls,0.6842934062546259,0.32397732120334255
